60023รง0625/ว.5741       24/11/25607400072838คณะบุคคล            รักลูกเนอร์เซอรี่                                                                                   0000000000000       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002048257นาง                 บวรลักษณ์                                         เล็กชิน                                           3740300536745       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601700011324นาง                 สายชล                                             เกตุเอี่ยม                                        3170200105179       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25607400051393นาง                 วาสนา                                             วีระสุริยะ                                        3670800047418       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601001845838นาง                 จินดา                                             อนุพันธ์                                          3331001170166       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603000097252นาง                 ชลธิชา                                            ทองศรี                                            3309901254860       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002185131นาง                 กาญจนา                                            อินทรพิทักษ์                                      3101200847753       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002055652นาง                 ณัฏศศิ                                            เกิดแก้ว                                          3860500149671       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601900026015นาง                 นิชดา                                             วันชูเชิด                                         3120600510836       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602000067077นาง                 ทับทิม                                            สามัคคี                                           3220500537759       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25607400129317นาง                 มุขดาวัลย์                                        พุกคะเชย                                          3100902618478       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601001521421นาง                 วชิรา                                             พาณิชย์สิริกุล                                    3520700086871       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500010180นาง                 สำรวย                                             สินธพ                                             3260300563887       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002356024นาง                 เกศินีย์                                          พูลสุข                                            5100699038880       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601600019188นาง                 จันจิรา                                           บัววันเพ็ญ                                        3160100235615       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602100101897นาง                 มณีจันทรา                                         กมลรัตนโยธิน                                      3730100690945       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25607400072838นาง                 นันทพร                                            กัณหสุวรรณ                                        3749900285725       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603000059253นาง                 นภสร                                              วงศ์ธวัชนุกุล                                     3309900398353       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500025837นาง                 สุณิสา                                            ภูเดช                                             3250200085461       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000549925นาง                 วีรนุช                                            ทองศักดิ์                                         3469900217102       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000793613นาง                 บุญ                                               พรวราภา                                           5102470019010       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000661954นาง                 จารุณี                                            ทรงศิวิไล                                         3100904498950       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601400010420นาง                 สุนี                                              วงษ์กมลชุณห์                                      3409700076432       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603000050256นาง                 พันดอน                                            แสงแก้ว                                           5349900010289       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500018890นาง                 วรนิษฐา                                           โชติยา                                            3320200066554       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601400068827นาง                 ฐิติพร                                            ฤทธฺิ์เทพ                                         3360400834300       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500027520นาง                 กนกพร                                             วรมานะกุล วอง                                     3259900204932       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603500008721นาง                 พิทยาภรณ์                                         จันทร์เอียด                                       3350400654361       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601100086277นาง                 ศิริมา                                            ศักดิ์สุภา                                        3100603119071       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601100230777นาง                 ฐานิดา                                            เปรมปรี                                           3101100367296       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603500006159นาง                 ลำดวน                                             ศรีโชค                                            3350400654352       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601001464753นาง                 สุกัญญา                                           ไชวาริล                                           3100502004553       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601001090446นาง                 สมพิศ                                             สุขสวัสดิ์                                        3800900693107       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000875768นาง                 อุทัยวรรณ                                         สว่างอรุณ                                         3100602812015       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602100063022นาง                 ภรภัทร                                            จันทณาชัย                                         3210100181051       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000832414นาง                 ดุษณี                                             สุขสมบูรณ์                                        3100300265721       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601700002180นาง                 ชมดาว                                             สาคร                                              3170200051532       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601900050285นาง                 บังอร                                             เรืองสุวรรณ                                       3301000198393       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603000016678นาง                 จันทิมา                                           ตันสำโรง                                          3460800392460       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601700001744นาง                 บุญเสริม                                          เกียรติงาม                                        3170600333250       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603500008071นาง                 สุบรรณ                                            สัตย์ซื่อ                                         3350500262731       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602100107593นางสาว              ชนากานต์                                          ระดีวงษ์                                          3102400377581       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25607400072838นางสาว              บุษกร                                             กัณหสุวรรณ                                        3749900285733       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601003111360นางสาว              จุติพร                                            ธานะวาทิก                                         1209700184699       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002221625นางสาว              รัชชุดา                                           สิงห์ทอง                                          3710300298194       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25607400078691นางสาว              สุนี                                              ทองสุข                                            3102100709457       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603600028146นางสาว              นภาวัลย์                                          ทับเพชร                                           3360700242203       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601400057540นางสาว              ชอบ                                               วงษ์อินทร์                                        3601200290941       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601000457753นางสาว              วันเพ็ญ                                           มณีรัตน์                                          3341700335067       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002440254นางสาว              จารุณี                                            ศรีอุดมกิจ                                        3101700702631       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500025683นางสาว              สุกัญญา                                           อุ่นสอน                                           3250200033365       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601100099531นางสาว              นัฐฐา                                             สังข์อ่อง                                         1100700232891       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601003163289นางสาว              ศิริลักษณ์                                        ศิลาขาว                                           3320800272899       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002415039นางสาว              นภัสสร                                            ถาวรผล                                            1100700798878       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601700008714นางสาว              จารุพร                                            สุทธิโพธิ์                                        3179900006643       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602100104225นางสาว              เอมอร                                             บัวซาว                                            1430300035378       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601100304151นางสาว              ปวีย์ธิดา                                         นิลดีอัศวรัฐ                                      1100700045349       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601001868943นางสาว              ดวงกมล                                            เขียวแก้ว                                         3630600309745       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602000064167นางสาว              อนงค์                                             ทองปลั่ง                                          3140200269562       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601400068444นางสาว              มลฑิตา                                            พรมเมือง                                          1470100031221       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500029123นางสาว              เปรมยุดา                                          พชิรารัชต์                                        1250100206197       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602100017462นางสาว              รสนา                                              ไพรยวัล                                           3100800043298       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25603000095454นางสาว              วันวิสา                                           สาริบุตร                                          1309900028975       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602500027252นางสาว              เกตน์ฉัตร์                                        ชูศรีพุฒิพร                                       3141100171481       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602000136672นางสาว              พิมลรัตน์                                         ปานสอาดโชค                                        3200200023759       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601003124631นางสาว              ปุณยวีร์                                          ล้ำเลิศธราศักดิ์                                  5720100015004       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002887852นางสาว              สาวิตรี                                           ซิงห์                                             5102400008001       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25602000158561นางสาว              ศันสนีย์                                          วรรโณพยาน                                         3101201940811       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25608400023897นางสาว              รังสิมา                                           เสนนวล                                            1909900102991       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601002058562นางสาว              สุกัญญา                                           ขุมทรัพย์                                         2110100002621       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601100029737นางสาว              รวีวรรณ                                           ดีประดับ                                          3101600782756       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
60023รง0625/ว.5741       24/11/25601300053542นางสาว              สุภาวนา                                           ชมภูวิเศษ                                         3400400412218       070    2                                                                                                                                                                             00000000000000.0012/12/2560 10:29:56                                                             
